               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.047764,           0.0090338,           0.0075696,             0.91253,             0.92722,             0.98852,             0.46616,            0.041072,           0.0054965,            0.004514,           0.0075052,           0.0075052,           0.0075052
                 128,            0.052829,            0.010391,           0.0091405,             0.91253,             0.92722,             0.98852,             0.46616,            0.041072,           0.0054965,            0.004514,           0.0074854,           0.0074854,           0.0074854
                 129,             0.05012,           0.0096354,           0.0088677,             0.83201,             0.94997,             0.98165,             0.67925,            0.034437,           0.0050468,           0.0041669,           0.0074656,           0.0074656,           0.0074656
                 130,            0.046362,           0.0082194,           0.0087778,             0.99516,                   1,               0.995,              0.6899,               0.032,           0.0047142,           0.0037063,           0.0074458,           0.0074458,           0.0074458
                 131,            0.045436,            0.008711,           0.0084965,             0.97099,                0.95,             0.97625,              0.5032,            0.035199,           0.0047788,           0.0043281,            0.007426,            0.007426,            0.007426
                 132,            0.052432,            0.010033,           0.0065705,             0.97099,                0.95,             0.97625,              0.5032,            0.035199,           0.0047788,           0.0043281,           0.0074062,           0.0074062,           0.0074062
                 133,            0.050978,           0.0088675,           0.0077573,             0.91512,               0.975,             0.99083,             0.59468,            0.031674,           0.0046386,           0.0038734,           0.0073864,           0.0073864,           0.0073864
                 134,            0.045765,           0.0095539,           0.0065578,              0.9936,                   1,               0.995,              0.5848,            0.036778,           0.0047219,           0.0037714,           0.0073666,           0.0073666,           0.0073666
                 135,            0.048998,            0.011499,           0.0091314,             0.95788,                   1,             0.99024,             0.60936,            0.032851,            0.004805,           0.0043894,           0.0073468,           0.0073468,           0.0073468
                 136,            0.058743,            0.010214,           0.0068829,             0.95788,                   1,             0.99024,             0.60936,            0.032851,            0.004805,           0.0043894,            0.007327,            0.007327,            0.007327
                 137,            0.055429,            0.010432,            0.011264,             0.95475,             0.97407,             0.99024,             0.69962,            0.030697,           0.0046505,           0.0041949,           0.0073072,           0.0073072,           0.0073072
                 138,            0.052364,           0.0098221,             0.01163,              0.9615,              0.9883,               0.995,             0.48191,            0.041392,            0.005125,           0.0046457,           0.0072874,           0.0072874,           0.0072874
                 139,            0.048695,           0.0097532,           0.0087125,             0.74663,                   1,              0.9506,             0.59936,             0.03681,           0.0048367,           0.0047546,           0.0072676,           0.0072676,           0.0072676
                 140,            0.057725,            0.010095,            0.010553,             0.74663,                   1,              0.9506,             0.59936,             0.03681,           0.0048367,           0.0047546,           0.0072478,           0.0072478,           0.0072478
                 141,            0.051983,            0.010178,            0.010092,             0.72506,             0.99597,              0.9544,              0.6532,            0.034564,           0.0047057,            0.005153,            0.007228,            0.007228,            0.007228
